
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server
  2026-05-19 09:22:13 /api/properties .................................................................... ~ 501.88ms
  2026-05-19 09:22:13 /api/dashboard ..................................................................... ~ 503.46ms
  2026-05-19 09:22:13 /api/references ...................................................................... ~ 1.72ms
  2026-05-19 09:22:14 /api/properties .................................................................... ~ 500.53ms
  2026-05-19 09:22:14 /api/dashboard ..................................................................... ~ 501.76ms
  2026-05-19 09:22:22 /api/references ...................................................................... ~ 0.47ms
  2026-05-19 09:22:22 /api/references ...................................................................... ~ 0.18ms
  2026-05-19 09:22:22 /api/properties ...................................................................... ~ 0.15ms
  2026-05-19 09:22:22 /api/dashboard ..................................................................... ~ 514.00ms
  2026-05-19 09:22:22 /api/properties .................................................................... ~ 513.80ms
  2026-05-19 09:22:22 /api/dashboard ..................................................................... ~ 510.17ms
  2026-05-19 09:22:32 /api/references ...................................................................... ~ 0.45ms
  2026-05-19 09:22:32 /api/properties ...................................................................... ~ 0.16ms
  2026-05-19 09:22:32 /api/dashboard ..................................................................... ~ 516.38ms
  2026-05-19 09:22:32 /api/references .................................................................... ~ 516.36ms
  2026-05-19 09:22:33 /api/properties .................................................................... ~ 511.46ms
  2026-05-19 09:22:33 /api/dashboard ..................................................................... ~ 512.61ms
  2026-05-19 09:24:11 /api/dashboard ..................................................................... ~ 515.05ms
  2026-05-19 09:24:12 /api/properties/1/dossier ............................................................ ~ 0.18ms
  2026-05-19 09:24:30 /api/properties/1/tax-declarations/2/assessments ..................................... ~ 0.66ms
  2026-05-19 09:24:34 /api/references ...................................................................... ~ 0.56ms
  2026-05-19 09:24:34 /api/properties .................................................................... ~ 510.77ms
  2026-05-19 09:24:34 /api/dashboard ..................................................................... ~ 511.80ms
  2026-05-19 09:24:34 /api/properties/2/dossier ............................................................ ~ 0.15ms
  2026-05-19 09:24:42 /api/properties/1/dossier ............................................................ ~ 0.38ms
  2026-05-19 09:25:47 /api/references ...................................................................... ~ 0.47ms
  2026-05-19 09:25:47 /api/properties .................................................................... ~ 515.05ms
  2026-05-19 09:25:47 /api/dashboard ..................................................................... ~ 516.02ms
  2026-05-19 09:25:47 /api/properties/2/dossier ............................................................ ~ 0.27ms
  2026-05-19 09:40:17 /api/references ...................................................................... ~ 0.56ms
  2026-05-19 09:40:17 /api/properties .................................................................... ~ 513.34ms
  2026-05-19 09:40:17 /api/dashboard ..................................................................... ~ 514.67ms
  2026-05-19 09:40:17 /api/properties/2/dossier .......................................................... ~ 512.32ms
  2026-05-19 09:40:22 /api/properties ...................................................................... ~ 0.35ms
  2026-05-19 09:40:22 /api/dashboard ....................................................................... ~ 1.25ms
  2026-05-19 09:40:22 /api/properties/2/dossier .......................................................... ~ 513.31ms
  2026-05-19 09:49:59 /api/references .................................................................... ~ 514.14ms
  2026-05-19 09:50:00 /api/properties ...................................................................... ~ 0.22ms
  2026-05-19 09:50:00 /api/dashboard ..................................................................... ~ 512.50ms
  2026-05-19 09:50:00 /api/properties/2/dossier ............................................................ ~ 0.18ms
  2026-05-19 09:50:02 /api/properties ...................................................................... ~ 0.35ms
  2026-05-19 09:50:02 /api/dashboard ..................................................................... ~ 512.95ms
  2026-05-19 09:50:02 /api/properties/2/dossier ............................................................ ~ 0.16ms
  2026-05-19 09:52:50 /api/properties/1/documents .......................................................... ~ 0.39ms
  2026-05-19 09:53:07 /api/references ...................................................................... ~ 0.38ms
  2026-05-19 09:53:07 /api/properties .................................................................... ~ 502.66ms
  2026-05-19 09:57:12 /api/references .................................................................... ~ 500.56ms
  2026-05-19 09:57:12 /api/properties ...................................................................... ~ 0.13ms
  2026-05-19 09:57:12 /api/dashboard ..................................................................... ~ 513.84ms
  2026-05-19 09:57:13 /api/properties/2/dossier ............................................................ ~ 0.22ms
  2026-05-19 09:57:16 /api/properties/2/dossier .......................................................... ~ 501.52ms
  2026-05-19 09:57:19 /api/properties/1/dossier ............................................................ ~ 0.51ms
  2026-05-19 10:00:11 /api/dashboard ....................................................................... ~ 0.49ms
  2026-05-19 10:01:22 /api/properties/1/dossier .......................................................... ~ 514.56ms
  2026-05-19 10:01:31 /api/properties/1/dossier ............................................................ ~ 0.44ms
  2026-05-19 10:02:11 /api/references .................................................................... ~ 500.62ms
  2026-05-19 10:02:11 /api/properties ...................................................................... ~ 0.15ms
  2026-05-19 10:02:11 /api/dashboard ..................................................................... ~ 513.14ms
  2026-05-19 10:02:12 /api/properties/2/dossier ............................................................ ~ 0.26ms
  2026-05-19 10:07:34 /api/properties ...................................................................... ~ 0.49ms
  2026-05-19 10:07:34 /api/dashboard ..................................................................... ~ 513.10ms
  2026-05-19 10:07:34 /api/properties/2/dossier ............................................................ ~ 0.27ms
  2026-05-19 10:08:09 /api/properties ...................................................................... ~ 0.44ms
  2026-05-19 10:08:09 /api/dashboard ....................................................................... ~ 0.14ms
  2026-05-19 10:08:10 /api/properties/1/dossier .......................................................... ~ 512.10ms
  2026-05-19 10:08:12 /api/properties/1/dossier ............................................................ ~ 0.86ms
  2026-05-19 10:13:41 /api/properties ...................................................................... ~ 1.38ms
  2026-05-19 10:13:41 /api/dashboard ..................................................................... ~ 514.72ms
  2026-05-19 10:13:52 /api/auth/login .................................................................... ~ 500.88ms
  2026-05-19 10:14:30 /api/references ...................................................................... ~ 0.32ms
  2026-05-19 10:14:30 /api/properties ...................................................................... ~ 0.28ms
  2026-05-19 10:14:30 /api/dashboard ..................................................................... ~ 512.07ms
  2026-05-19 10:18:45 /api/auth/login .................................................................... ~ 514.63ms
  2026-05-19 10:18:46 /api/auth/me ......................................................................... ~ 0.14ms
  2026-05-19 10:18:46 /api/dashboard ..................................................................... ~ 521.61ms
  2026-05-19 10:18:46 /api/properties/1/documents/1/movements .............................................. ~ 0.21ms
  2026-05-19 10:19:06 /api/auth/login .................................................................... ~ 514.77ms
  2026-05-19 10:19:06 /api/properties/1/documents .......................................................... ~ 0.17ms
  2026-05-19 10:23:49 /api/auth/login .................................................................... ~ 501.74ms
  2026-05-19 10:23:49 /api/auth/login .................................................................... ~ 514.73ms
  2026-05-19 10:23:49 /api/auth/login .......................................................................... ~ 1s
  2026-05-19 10:23:50 /api/properties/export.csv ......................................................... ~ 503.61ms
  2026-05-19 10:23:50 /api/properties .................................................................... ~ 515.48ms
  2026-05-19 10:23:50 /api/backup/export ....................................................................... ~ 1s
  2026-05-19 10:24:25 /api/auth/login ...................................................................... ~ 0.45ms
  2026-05-19 10:24:25 /api/auth/login .................................................................... ~ 515.58ms
  2026-05-19 10:24:26 /api/references ...................................................................... ~ 0.23ms
  2026-05-19 10:24:26 /api/references .................................................................... ~ 514.17ms
  2026-05-19 10:24:26 /api/properties ...................................................................... ~ 0.47ms
  2026-05-19 10:24:26 /api/dashboard ....................................................................... ~ 0.25ms
  2026-05-19 10:24:26 /api/properties .................................................................... ~ 512.93ms
  2026-05-19 10:24:26 /api/dashboard ..................................................................... ~ 513.00ms
  2026-05-19 10:24:27 /api/properties/2/dossier ............................................................ ~ 0.21ms
  2026-05-19 10:24:27 /api/properties/2/dossier .......................................................... ~ 512.05ms
