
   INFO  Server running on [http://127.0.0.1:8002].  

  Press Ctrl+C to stop the server
  2026-05-19 14:28:08 /api/references .................................................................... ~ 503.99ms
  2026-05-19 14:28:08 /api/properties ...................................................................... ~ 0.17ms
  2026-05-19 14:28:08 /api/dashboard ....................................................................... ~ 0.20ms
  2026-05-19 14:28:08 /api/properties .................................................................... ~ 504.82ms
  2026-05-19 14:28:08 /api/dashboard ..................................................................... ~ 504.91ms
  2026-05-19 14:28:09 /api/properties/2/dossier ............................................................ ~ 0.18ms
  2026-05-19 14:28:09 /api/properties/2/dossier .......................................................... ~ 516.01ms
  2026-05-19 14:32:13 /api/auth/me ....................................................................... ~ 516.47ms
  2026-05-19 14:32:13 /api/auth/me ....................................................................... ~ 501.02ms
  2026-05-19 14:32:14 /api/references .................................................................... ~ 500.59ms
  2026-05-19 14:32:14 /api/references ...................................................................... ~ 0.27ms
  2026-05-19 14:32:14 /api/properties .................................................................... ~ 515.74ms
  2026-05-19 14:32:14 /api/dashboard ....................................................................... ~ 0.33ms
  2026-05-19 14:32:14 /api/properties .................................................................... ~ 505.28ms
  2026-05-19 14:32:14 /api/dashboard ..................................................................... ~ 505.13ms
  2026-05-19 14:32:15 /api/properties/2/dossier ............................................................ ~ 0.25ms
  2026-05-19 14:32:15 /api/properties/2/dossier .......................................................... ~ 500.64ms
  2026-05-19 14:32:42 /api/auth/me ....................................................................... ~ 514.07ms
  2026-05-19 14:32:43 /api/auth/me ......................................................................... ~ 0.48ms
  2026-05-19 14:32:43 /api/references .................................................................... ~ 515.94ms
  2026-05-19 14:32:43 /api/references ...................................................................... ~ 0.27ms
  2026-05-19 14:32:44 /api/properties .................................................................... ~ 505.15ms
  2026-05-19 14:32:44 /api/dashboard ....................................................................... ~ 0.19ms
  2026-05-19 14:32:44 /api/properties .................................................................... ~ 504.71ms
  2026-05-19 14:32:44 /api/dashboard ..................................................................... ~ 505.45ms
  2026-05-19 14:32:45 /api/properties/2/dossier .......................................................... ~ 504.81ms
  2026-05-19 14:32:45 /api/properties/2/dossier .......................................................... ~ 501.20ms
  2026-05-19 14:51:14 /api/auth/me ............................................................................. ~ 1s
  2026-05-19 14:51:15 /api/auth/me ....................................................................... ~ 504.88ms
  2026-05-19 14:51:15 /api/references ...................................................................... ~ 0.38ms
  2026-05-19 14:51:16 /api/references .................................................................... ~ 512.27ms
  2026-05-19 14:51:16 /api/auth/me ....................................................................... ~ 514.19ms
  2026-05-19 14:51:16 /api/properties ...................................................................... ~ 0.35ms
  2026-05-19 14:51:16 /api/dashboard ..................................................................... ~ 505.37ms
  2026-05-19 14:51:17 /api/auth/me ....................................................................... ~ 509.23ms
  2026-05-19 14:51:17 /api/properties .................................................................... ~ 513.03ms
  2026-05-19 14:51:17 /api/dashboard ........................................................................... ~ 1s
  2026-05-19 14:51:18 /api/references .......................................................................... ~ 1s
  2026-05-19 14:51:19 /api/auth/me ......................................................................... ~ 0.34ms
  2026-05-19 14:51:19 /api/auth/me ....................................................................... ~ 509.08ms
  2026-05-19 14:51:19 /api/references ...................................................................... ~ 0.24ms
  2026-05-19 14:51:19 /api/references .................................................................... ~ 513.77ms
  2026-05-19 14:51:20 /api/properties ...................................................................... ~ 0.29ms
  2026-05-19 14:51:20 /api/dashboard ....................................................................... ~ 0.33ms
  2026-05-19 14:51:20 /api/properties .................................................................... ~ 516.47ms
  2026-05-19 14:51:20 /api/dashboard ..................................................................... ~ 515.82ms
  2026-05-19 14:52:11 /api/auth/me ......................................................................... ~ 0.59ms
  2026-05-19 14:52:11 /api/auth/me ....................................................................... ~ 501.47ms
  2026-05-19 14:52:11 /api/references ...................................................................... ~ 0.14ms
  2026-05-19 14:52:11 /api/references ...................................................................... ~ 0.13ms
  2026-05-19 14:52:12 /api/properties ...................................................................... ~ 0.13ms
  2026-05-19 14:52:12 /api/dashboard ..................................................................... ~ 502.52ms
  2026-05-19 14:52:12 /api/properties .................................................................... ~ 504.68ms
  2026-05-19 14:52:12 /api/dashboard ....................................................................... ~ 1.85ms
  2026-05-19 14:53:58 /api/auth/me ......................................................................... ~ 0.48ms
  2026-05-19 14:53:58 /api/auth/me ....................................................................... ~ 515.14ms
  2026-05-19 14:53:59 /api/references ...................................................................... ~ 0.22ms
  2026-05-19 14:53:59 /api/references ...................................................................... ~ 0.20ms
  2026-05-19 14:53:59 /api/properties .................................................................... ~ 513.82ms
  2026-05-19 14:53:59 /api/dashboard ....................................................................... ~ 0.19ms
  2026-05-19 14:53:59 /api/properties ...................................................................... ~ 1.43ms
  2026-05-19 14:53:59 /api/dashboard ..................................................................... ~ 513.14ms
  2026-05-19 14:58:57 /api/auth/login ...................................................................... ~ 0.31ms
  2026-05-19 14:58:57 /api/auth/login .................................................................... ~ 504.74ms
  2026-05-19 14:58:58 /api/references ...................................................................... ~ 0.20ms
  2026-05-19 14:58:58 /api/references ...................................................................... ~ 0.15ms
  2026-05-19 14:58:58 /api/properties .................................................................... ~ 504.01ms
  2026-05-19 14:58:58 /api/dashboard ....................................................................... ~ 0.17ms
  2026-05-19 14:58:58 /api/properties ...................................................................... ~ 1.11ms
  2026-05-19 14:58:58 /api/dashboard ..................................................................... ~ 512.73ms
  2026-05-19 14:59:03 /api/properties/1/dossier ............................................................ ~ 0.31ms
  2026-05-19 14:59:03 /api/properties/1/dossier ............................................................ ~ 0.22ms
  2026-05-19 15:00:55 /api/auth/me ......................................................................... ~ 0.49ms
  2026-05-19 15:00:55 /api/auth/me ......................................................................... ~ 0.29ms
  2026-05-19 15:00:55 /api/references .................................................................... ~ 502.82ms
  2026-05-19 15:00:55 /api/references ...................................................................... ~ 0.21ms
  2026-05-19 15:00:56 /api/properties ...................................................................... ~ 0.20ms
  2026-05-19 15:00:56 /api/dashboard ....................................................................... ~ 0.17ms
  2026-05-19 15:00:56 /api/properties .................................................................... ~ 513.26ms
  2026-05-19 15:00:56 /api/dashboard ..................................................................... ~ 512.93ms
  2026-05-19 15:01:04 /api/properties/1/dossier ............................................................ ~ 0.40ms
  2026-05-19 15:01:04 /api/properties/1/dossier .......................................................... ~ 516.00ms
  2026-05-19 15:02:57 /api/properties/1/dossier ............................................................ ~ 0.42ms
  2026-05-19 15:02:57 /api/properties/1/dossier .......................................................... ~ 514.56ms
  2026-05-19 15:03:04 /api/properties ...................................................................... ~ 0.47ms
  2026-05-19 15:03:04 /api/dashboard ....................................................................... ~ 0.29ms
  2026-05-19 15:03:04 /api/properties .................................................................... ~ 508.20ms
  2026-05-19 15:03:04 /api/dashboard ..................................................................... ~ 508.32ms
  2026-05-19 15:03:05 /api/properties/2/dossier ............................................................ ~ 0.13ms
  2026-05-19 15:03:05 /api/properties/2/dossier .......................................................... ~ 514.46ms
  2026-05-19 15:03:06 /api/properties/2/dossier .......................................................... ~ 502.64ms
  2026-05-19 15:03:06 /api/properties/2/dossier ............................................................ ~ 0.13ms
  2026-05-19 15:03:14 /api/properties ...................................................................... ~ 0.39ms
  2026-05-19 15:03:14 /api/dashboard ..................................................................... ~ 503.09ms
  2026-05-19 15:03:14 /api/properties .................................................................... ~ 504.32ms
  2026-05-19 15:03:15 /api/dashboard ..................................................................... ~ 502.26ms
  2026-05-19 15:03:15 /api/properties/2/dossier ............................................................ ~ 0.14ms
  2026-05-19 15:03:15 /api/properties/2/dossier ............................................................ ~ 0.13ms
  2026-05-19 15:03:18 /api/properties ...................................................................... ~ 0.50ms
  2026-05-19 15:03:18 /api/dashboard ....................................................................... ~ 0.24ms
  2026-05-19 15:03:18 /api/properties .................................................................... ~ 505.52ms
  2026-05-19 15:03:19 /api/dashboard ..................................................................... ~ 505.40ms
  2026-05-19 15:03:19 /api/properties/2/dossier ............................................................ ~ 0.19ms
  2026-05-19 15:03:19 /api/properties/2/dossier .......................................................... ~ 502.70ms
  2026-05-19 15:03:31 /api/properties ...................................................................... ~ 0.41ms
  2026-05-19 15:03:31 /api/dashboard ..................................................................... ~ 508.18ms
  2026-05-19 15:03:31 /api/properties .................................................................... ~ 509.22ms
  2026-05-19 15:03:31 /api/dashboard ..................................................................... ~ 501.67ms
  2026-05-19 15:03:31 /api/properties/1/dossier ............................................................ ~ 0.15ms
  2026-05-19 15:03:31 /api/properties/1/dossier ............................................................ ~ 0.22ms
  2026-05-19 15:03:32 /api/properties/1/dossier .......................................................... ~ 500.57ms
  2026-05-19 15:03:32 /api/properties/1/dossier ............................................................ ~ 0.22ms
  2026-05-19 15:03:57 /api/documents/1/download ............................................................ ~ 0.39ms
  2026-05-19 15:03:58 /api/documents/1/download ............................................................ ~ 0.13ms
  2026-05-19 15:12:13 /api/auth/me ......................................................................... ~ 0.78ms
  2026-05-19 15:12:13 /api/auth/me ....................................................................... ~ 504.96ms
  2026-05-19 15:12:13 /api/references ...................................................................... ~ 0.14ms
  2026-05-19 15:12:13 /api/references ...................................................................... ~ 0.16ms
  2026-05-19 15:12:13 /api/properties .................................................................... ~ 503.37ms
  2026-05-19 15:12:13 /api/dashboard ....................................................................... ~ 0.15ms
  2026-05-19 15:12:13 /api/properties ...................................................................... ~ 1.43ms
  2026-05-19 15:12:14 /api/dashboard ..................................................................... ~ 514.50ms
  2026-05-19 15:12:17 /api/properties/2/dossier .......................................................... ~ 501.11ms
  2026-05-19 15:12:18 /api/properties/2/dossier ............................................................ ~ 0.14ms
